bbl,tax_year,neighborhood,building_classification,total_units,year_built,gross_sqft,est_gross_income,gross_income_per_sqft,est_expense,expense_per_sqft,net_operating_income,full_market_value,market_value_per_sqft,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_total_units,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_expense,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_full_market_value,comparable_rental_1_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_building_classification,comparable_rental_2_total_units,comparable_rental_2_year_built,comparable_rental_2_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_est_expense,comparable_rental_2_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_3_boro_block_lot,comparable_rental_3_address,comparable_rental_3_neighborhood,comparable_rental_3_building_classification,comparable_rental_3_total_units,comparable_rental_3_year_built,comparable_rental_3_gross_sqft,comparable_rental_3_est_gross_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_est_expense,comparable_rental_3_expense_per_sqft,comparable_rental_3_net_operating_income,comparable_rental_3_full_market_value,comparable_rental_3_market_value_per_sqft,comparable_rental_3_dist_from_coop_in_miles,block,lot,BoroCode,Zip,UnitsRes,ComArea,NumFloors,SchoolDist,outstanding_fines,FDNY_issues,SANITATION_issues,DOB_issues
1-01381-0001,2009,UPPER EAST SIDE (59-79),D4-ELEVATOR,106,1949,153525,4654878,30.3,NA,NA,NA,22600000,147,1-01581-0049,UPPER EAST SIDE (79-96),D8-ELEVATOR,237,1968,241983,7337151,30.3,NA,NA,NA,35500000,147,1.25,1-01343-0049,MIDTOWN EAST,D6-ELEVATOR,121,1959,115000,3388075,29.5,NA,NA,NA,16400000,143,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381,1,1,10065,106,0,18,2,2125,20,0,4
1-01381-0001,2011,UPPER EAST SIDE (59-79),D4-ELEVATOR,106,1949,153525,5066325,33,NA,NA,NA,23600000,154,1-01438-0049,UPPER EAST SIDE (59-79),D9-ELEVATOR,105,1996,142209,9297636,65,NA,NA,NA,45600000,321,0.55,1-01438-0006,UPPER EAST SIDE (59-79),D9-ELEVATOR,111,1931,164567,7457815,45.3,NA,NA,NA,36600000,222,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381,1,1,10065,106,0,18,2,2125,20,0,4
1-01381-0001,2012,UPPER EAST SIDE (59-79),D4-ELEVATOR,106,1949,153525,4251107,27.69,928826,6.05,3322280,23939000,155.93,1-01398-0008,UPPER EAST SIDE (59-79),D7-ELEVATOR,15,1920,17250,580754,33.67,177842,10.31,402912,2991000,173.39,0.24,1-01398-0006,UPPER EAST SIDE (59-79),D7-ELEVATOR,37,1923,36274,1173708,32.36,221664,6.11,952044,7087000,195.37,0.24,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,1381,1,1,10065,106,0,18,2,2125,20,0,4
1-01394-0007,2009,UPPER EAST SIDE (59-79),D4-ELEVATOR,239,1963,325173,9062571,27.9,NA,NA,NA,43900000,135,1-01406-0001,UPPER EAST SIDE (59-79),D6-ELEVATOR,120,1940,215600,6008692,27.9,NA,NA,NA,29100000,135,0.6,1-01560-0001,UPPER EAST SIDE (79-96),D6-ELEVATOR,314,1980,302049,12410915,41.1,NA,NA,NA,62400000,207,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1394,7,1,10022,239,10000,33,2,14410,34,5,15
1-01394-0007,2011,UPPER EAST SIDE (59-79),D4-ELEVATOR,239,1963,325173,10080363,31,NA,NA,NA,47000000,145,1-01422-0021,UPPER EAST SIDE (59-79),D6-ELEVATOR,176,1973,348130,11902047,34.2,NA,NA,NA,55400000,159,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1394,7,1,10022,239,10000,33,2,14410,34,5,15
1-01394-0007,2012,UPPER EAST SIDE (59-79),D4-ELEVATOR,239,1963,325173,13250800,40.75,3404560,10.47,9846240,51700000,158.99,1-01332-0029,MIDTOWN EAST,D6-ELEVATOR,167,1983,324212,13502516,41.65,4351030,13.42,9151490,69083000,213.08,0.21,1-01272-0001,MIDTOWN WEST,D6-ELEVATOR,252,1963,303642,12035171,39.64,3351490,11.04,8683680,65651000,216.21,0.38,1-01416-0002,1033 3 AVENUE,UPPER EAST SIDE (59-79),D6-ELEVATOR,133,1967,241,9,40.75,2,10.47,7,55,228.74,0.23,1394,7,1,10022,239,10000,33,2,14410,34,5,15
1-01401-0032,2009,UPPER EAST SIDE (59-79),D4-ELEVATOR,21,1918,43339,1492595,34.4,NA,NA,NA,7500000,173,1-01438-0014,UPPER EAST SIDE (59-79),D1-ELEVATOR,92,1920,47008,1618847,34.4,NA,NA,NA,8140000,173,0.3,1-00593-0036,GREENWICH VILLAGE-WEST,D1-ELEVATOR,69,1930,48531,1924985,39.7,NA,NA,NA,9680000,199,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401,32,1,10065,20,0,9,2,-600,13,3,4
1-01401-0032,2011,UPPER EAST SIDE (59-79),D4-ELEVATOR,21,1918,43339,1646882,38,NA,NA,NA,7670000,177,1-01472-0034,UPPER EAST SIDE (59-79),D1-ELEVATOR,47,1936,44856,1416783,31.6,NA,NA,NA,6600000,147,0.7,1-01391-0002,UPPER EAST SIDE (59-79),D3-ELEVATOR,38,1923,39030,1719463,44.1,NA,NA,NA,8440000,216,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401,32,1,10065,20,0,9,2,-600,13,3,4
1-01401-0032,2012,UPPER EAST SIDE (59-79),D4-ELEVATOR,20,1918,38850,1329836,34.23,405983,10.45,923853,6846000,176.22,1-01425-0017,UPPER EAST SIDE (59-79),D6-ELEVATOR,91,1961,83220,2878912,34.59,838616,10.08,2040300,15108000,181.54,0.23,1-01422-0021,UPPER EAST SIDE (59-79),D6-ELEVATOR,176,1973,348130,11787648,33.86,3767580,10.82,8020070,59518000,170.96,0.13,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,1401,32,1,10065,20,0,9,2,-600,13,3,4
1-01445-0007,2009,UPPER EAST SIDE (59-79),D4-ELEVATOR,125,1960,132748,4050141,30.5,NA,NA,NA,19600000,148,1-01410-0033,UPPER EAST SIDE (59-79),D6-ELEVATOR,114,1962,181549,5539920,30.5,NA,NA,NA,26800000,148,0.35,1-00610-0060,GREENWICH VILLAGE-WEST,D6-ELEVATOR,134,1931,102354,3835244,37.5,NA,NA,NA,19300000,189,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445,7,1,10021,124,3860,12,2,-325,12,2,12
1-01445-0007,2011,UPPER EAST SIDE (59-79),D4-ELEVATOR,125,1960,132748,4380684,33,NA,NA,NA,20400000,154,1-01516-0052,UPPER EAST SIDE (79-96),D6-ELEVATOR,154,1963,128132,3830555,29.9,NA,NA,NA,17800000,139,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445,7,1,10021,124,3860,12,2,-325,12,2,12
1-01445-0007,2012,UPPER EAST SIDE (59-79),D4-ELEVATOR,125,1960,132748,3981113,29.99,1137650,8.57,2843460,21299000,160.45,1-01467-0005,UPPER EAST SIDE (59-79),D6-ELEVATOR,47,1936,49590,1517442,30.6,317055,6.39,1200390,8865000,178.77,0.18,1-01447-0023,UPPER EAST SIDE (59-79),D6-ELEVATOR,145,1962,165527,4861515,29.37,1778510,10.74,3083000,23123000,139.69,0.11,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,1445,7,1,10021,124,3860,12,2,-325,12,2,12
1-01448-0012,2009,UPPER EAST SIDE (59-79),C6-WALK-UP,20,1910,9530,322019,33.8,NA,NA,NA,1560000,164,1-01440-0022,UPPER EAST SIDE (59-79),C7-WALK-UP,21,1910,10060,331000,32.9,NA,NA,NA,1600000,159,0.4,1-01456-0005,UPPER EAST SIDE (59-79),C4-WALK-UP,17,1920,10925,344626,31.5,NA,NA,NA,1670000,153,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448,12,1,10021,20,0,5,2,8450,6,22,0
1-01448-0012,2011,UPPER EAST SIDE (59-79),C6-WALK-UP,20,1910,9530,390730,41,NA,NA,NA,1920000,201,1-01453-0007,UPPER EAST SIDE (59-79),C4-WALK-UP,15,1910,9500,296902,31.3,NA,NA,NA,1380000,145,0.25,1-01448-0011,UPPER EAST SIDE (59-79),C4-WALK-UP,20,1910,9530,475614,49.9,NA,NA,NA,2330000,244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448,12,1,10021,20,0,5,2,8450,6,22,0
1-01491-0023,2009,UPPER EAST SIDE (79-96),D4-ELEVATOR,21,1925,69585,2087600,30,NA,NA,NA,10100000,145,1-01513-0070,UPPER EAST SIDE (79-96),D9-ELEVATOR,28,1924,63167,1992742,31.5,NA,NA,NA,9650000,153,0.25,1-01521-0007,UPPER EAST SIDE (79-96),D3-ELEVATOR,54,1927,65692,1890742,28.8,NA,NA,NA,9160000,139,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491,23,1,10075,20,2200,14,2,700,3,3,3
1-01491-0023,2011,UPPER EAST SIDE (79-96),D4-ELEVATOR,21,1925,69585,2219761,31.9,NA,NA,NA,10300000,148,1-01387-0056,UPPER EAST SIDE (59-79),D6-ELEVATOR,65,1939,66731,2882037,43.2,NA,NA,NA,14100000,211,0.35,1-01530-0019,UPPER EAST SIDE (79-96),D7-ELEVATOR,83,1986,69000,2309430,33.5,NA,NA,NA,10800000,157,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491,23,1,10075,20,2200,14,2,700,3,3,3
1-01491-0023,2012,UPPER EAST SIDE (79-96),D4-ELEVATOR,21,1925,69585,3046431,43.78,1555220,22.35,1491210,11231000,161.4,1-01509-0006,UPPER EAST SIDE (79-96),D3-ELEVATOR,33,1925,52272,2335704,44.68,712236,13.63,1623470,12219000,233.76,0.11,1-01492-0049,UPPER EAST SIDE (79-96),D6-ELEVATOR,60,1955,60858,2458314,40.39,766850,12.6,1691460,12780000,210,0.05,1-01392-0047,50 EAST 78 STREET,UPPER EAST SIDE (59-79),D6-ELEVATOR,48,1936,52,2,50.71,619,11.84,2,15,291.1,0.11,1491,23,1,10075,20,2200,14,2,700,3,3,3
1-01496-0065,2009,UPPER EAST SIDE (79-96),D4-ELEVATOR,38,1925,54696,1411200,25.8,NA,NA,NA,6840000,125,1-01518-0009,UPPER EAST SIDE (79-96),D3-ELEVATOR,47,1924,52848,1392558,26.4,NA,NA,NA,6750000,128,0.3,1-01511-0008,UPPER EAST SIDE (79-96),D3-ELEVATOR,38,1919,50592,1304231,25.8,NA,NA,NA,6320000,125,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1496,65,1,10028,36,900,9,2,-600,14,4,3
1-01496-0065,2011,UPPER EAST SIDE (79-96),D4-ELEVATOR,38,1925,54696,1520548,27.8,NA,NA,NA,6300000,115,1-01453-0021,UPPER EAST SIDE (59-79),D6-ELEVATOR,67,1986,53662,1763333,32.9,NA,NA,NA,8210000,153,0.6,1-01531-0028,UPPER EAST SIDE (79-96),D7-ELEVATOR,40,1920,54763,2285177,41.7,NA,NA,NA,11200000,205,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1496,65,1,10028,36,900,9,2,-600,14,4,3
1-01496-0065,2012,UPPER EAST SIDE (79-96),D4-ELEVATOR,38,1925,54696,1515079,27.7,505938,9.25,1009140,6930000,126.7,1-01515-0007,UPPER EAST SIDE (79-96),D6-ELEVATOR,52,1914,91260,2919965,32,1021120,11.19,1898840,14156000,155.12,0.22,1-01511-0008,UPPER EAST SIDE (79-96),D3-ELEVATOR,38,1919,50592,1401398,27.7,560559,11.08,840839,5709000,112.84,0.22,1-01512-0012,123 EAST 83 STREET,UPPER EAST SIDE (79-96),D9-ELEVATOR,20,1960,19,485,25.27,153,8.01,331,2,113.44,0.2,1496,65,1,10028,36,900,9,2,-600,14,4,3
1-01498-0037,2009,UPPER EAST SIDE (79-96),D4-ELEVATOR,64,1923,150782,3659500,24.27,NA,NA,NA,16400000,109,1-01447-0005,UPPER EAST SIDE (59-79),D9-ELEVATOR,131,1929,121234,3075692,25.4,NA,NA,NA,13700000,113,0.85,1-01524-0001,UPPER EAST SIDE (79-96),D3-ELEVATOR,86,1925,165834,3841586,23.17,NA,NA,NA,17200000,104,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498,37,1,10128,60,2250,14,2,-1275,20,1,7
1-01498-0037,2011,UPPER EAST SIDE (79-96),D4-ELEVATOR,64,1923,150782,3882636,25.7,NA,NA,NA,16100000,107,1-01511-0033,UPPER EAST SIDE (79-96),D6-ELEVATOR,94,1961,147534,3908339,26.5,NA,NA,NA,16200000,110,0.3,1-01516-0013,UPPER EAST SIDE (79-96),D6-ELEVATOR,123,1962,151184,4670380,30.9,NA,NA,NA,21800000,144,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498,37,1,10128,60,2250,14,2,-1275,20,1,7
1-01498-0037,2012,UPPER EAST SIDE (79-96),D4-ELEVATOR,64,1923,150782,6200156,41.12,1611860,10.69,4588300,17710000,117.45,1-01496-0021,UPPER EAST SIDE (79-96),D6-ELEVATOR,41,1922,113052,4649107,41.12,1208240,10.69,3440870,25985000,229.85,0.11,1-01516-0013,UPPER EAST SIDE (79-96),D6-ELEVATOR,123,1962,151184,4750837,31.42,1462340,9.67,3288500,24543000,162.34,0.11,1-01500-0053,1227 MADISON AVENUE,UPPER EAST SIDE (79-96),D6-ELEVATOR,111,1958,117,5,47.25,1,12.68,4,30,259.67,0.09,1498,37,1,10128,60,2250,14,2,-1275,20,1,7
1-01542-0019,2009,UPPER EAST SIDE (79-96),D4-ELEVATOR,452,1961,431000,13067920,30.3,NA,NA,NA,63300000,147,1-01581-0049,UPPER EAST SIDE (79-96),D8-ELEVATOR,237,1968,241983,7337151,30.3,NA,NA,NA,35500000,147,0.35,1-01584-0001,UPPER EAST SIDE (79-96),D7-ELEVATOR,180,1963,202322,6469907,32,NA,NA,NA,31300000,155,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542,19,1,10075,440,16000,21,2,625,17,4,15
1-01542-0019,2011,UPPER EAST SIDE (79-96),D4-ELEVATOR,452,1961,431000,13792000,32,NA,NA,NA,64200000,149,1-01559-0019,UPPER EAST SIDE (79-96),D6-ELEVATOR,250,1956,277073,10263132,37,NA,NA,NA,47800000,173,0.15,1-01568-0021,UPPER EAST SIDE (79-96),D6-ELEVATOR,385,1974,315710,15495147,49.1,NA,NA,NA,76100000,241,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542,19,1,10075,440,16000,21,2,625,17,4,15
1-01542-0019,2012,UPPER EAST SIDE (79-96),D4-ELEVATOR,452,1961,431000,12382630,28.73,3835900,8.9,8546730,64189000,148.93,1-01559-0033,UPPER EAST SIDE (79-96),D6-ELEVATOR,157,1961,137238,4261263,31.05,1579400,11.51,2681860,20032000,145.97,0.14,1-01527-0028,UPPER EAST SIDE (79-96),D6-ELEVATOR,182,1963,189612,5006351,26.4,1190920,6.28,3815440,27602000,145.57,0.17,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,1542,19,1,10075,440,16000,21,2,625,17,4,15
1-01552-0034,2009,UPPER EAST SIDE (79-96),C6-WALK-UP,20,1930,8590,307006,35.7,NA,NA,NA,1540000,179,1-01553-0032,UPPER EAST SIDE (79-96),C1-WALK-UP,20,1920,9760,348445,35.7,NA,NA,NA,1750000,179,0.05,1-01580-0003,UPPER EAST SIDE (79-96),C7-WALK-UP,17,1910,7700,275467,35.8,NA,NA,NA,1390000,181,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552,34,1,10128,20,0,5,2,240,5,3,0
1-01552-0034,2011,UPPER EAST SIDE (79-96),C6-WALK-UP,20,1930,8590,309240,36,NA,NA,NA,1440000,168,1-01530-0041,UPPER EAST SIDE (79-96),C4-WALK-UP,18,1915,8990,378855,42.1,NA,NA,NA,1860000,207,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552,34,1,10128,20,0,5,2,240,5,3,0
1-01552-0034,2012,UPPER EAST SIDE (79-96),C6-WALK-UP,20,1930,8590,301337,35.08,82206,9.57,219131,1621000,188.71,1-01552-0032,UPPER EAST SIDE (79-96),C1-WALK-UP,20,1925,8590,291219,33.9,103037,11.99,188182,1396000,162.51,0,1-01552-0004,UPPER EAST SIDE (79-96),C1-WALK-UP,20,1920,8750,306992,35.08,83767,9.57,223225,1651000,188.69,0,1-01551-0043,314 EAST 89 STREET,UPPER EAST SIDE (79-96),C7-WALK-UP,18,1920,9,324,35.97,89,9.89,235,1,192.46,0.05,1552,34,1,10128,20,0,5,2,240,5,3,0
1-01583-0015,2009,UPPER EAST SIDE (79-96),D4-ELEVATOR,143,1960,320600,8951152,27.9,NA,NA,NA,43400000,135,1-01472-0034,UPPER EAST SIDE (59-79),D1-ELEVATOR,47,1936,44856,1252216,27.9,NA,NA,NA,6070000,135,0.5,1-01438-0014,UPPER EAST SIDE (59-79),D1-ELEVATOR,92,1920,47008,1618847,34.4,NA,NA,NA,8140000,173,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583,15,1,10028,143,0,21,2,820,21,1,25
1-01583-0015,2011,UPPER EAST SIDE (79-96),D4-ELEVATOR,143,1960,320600,10259200,32,NA,NA,NA,47800000,149,1-01559-0019,UPPER EAST SIDE (79-96),D6-ELEVATOR,250,1956,277073,10263132,37,NA,NA,NA,47800000,173,0.4,1-01573-0022,UPPER EAST SIDE (79-96),D6-ELEVATOR,274,1994,347118,11172686,32.2,NA,NA,NA,52000000,150,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583,15,1,10028,143,0,21,2,820,21,1,25
1-01583-0015,2012,UPPER EAST SIDE (79-96),D4-ELEVATOR,143,1960,320600,10329732,32.22,3468890,10.82,6860840,51086000,159.34,1-01581-0049,UPPER EAST SIDE (79-96),D8-ELEVATOR,237,1968,241983,8305726,34.32,2640210,10.91,5665520,41976000,173.47,0.11,1-01565-0035,UPPER EAST SIDE (79-96),D6-ELEVATOR,133,1931,205967,6202875,30.12,2207930,10.72,3994950,29918000,145.26,0.15,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,1583,15,1,10028,143,0,21,2,820,21,1,25
1-01602-0001,2009,UPPER EAST SIDE (96-110),D4-ELEVATOR,77,1924,163969,4279590,26.1,NA,NA,NA,20700000,126,1-01565-0035,UPPER EAST SIDE (79-96),D6-ELEVATOR,133,1931,205967,5376180,26.1,NA,NA,NA,26000000,126,0.85,1-01613-0006,UPPER EAST SIDE (96-110),D5-ELEVATOR,273,1930,245000,5017824,20.48,NA,NA,NA,14200000,58,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1602,1,1,10129,74,1000,15,2,-210,20,12,22
1-01602-0001,2011,UPPER EAST SIDE (96-110),D4-ELEVATOR,77,1924,163969,4755101,29,NA,NA,NA,22100000,135,1-01516-0013,UPPER EAST SIDE (79-96),D6-ELEVATOR,123,1962,151184,4670380,30.9,NA,NA,NA,21800000,144,0.5,1-01553-0027,UPPER EAST SIDE (79-96),D6-ELEVATOR,165,2002,164384,6236286,37.9,NA,NA,NA,29000000,176,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1602,1,1,10129,74,1000,15,2,-210,20,12,22
1-01602-0001,2012,UPPER EAST SIDE (96-110),D4-ELEVATOR,77,1924,163969,4479633,27.32,1264200,7.71,3215430,23193000,141.45,1-01602-0066,UPPER EAST SIDE (96-110),D1-ELEVATOR,24,1930,14952,409857,27.41,129092,8.63,280765,2025000,135.43,0,1-01602-0050,UPPER EAST SIDE (96-110),D7-ELEVATOR,48,1920,44184,1206931,27.32,340829,7.71,866102,6247000,141.39,0.09,1-01602-0027,59 EAST 96 STREET,UPPER EAST SIDE (96-110),D7-ELEVATOR,24,1920,21,568,26.3,238,11.05,329,2,110.37,0.09,1602,1,1,10129,74,1000,15,2,-210,20,12,22
1-01602-0013,2009,UPPER EAST SIDE (96-110),D4-ELEVATOR,67,1923,85290,2685782,31.5,NA,NA,NA,13000000,152,1-01513-0070,UPPER EAST SIDE (79-96),D9-ELEVATOR,28,1924,63167,1992742,31.5,NA,NA,NA,9650000,153,0.65,1-01603-0001,UPPER EAST SIDE (96-110),D7-ELEVATOR,82,1925,90349,4044021,44.8,NA,NA,NA,20300000,225,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1602,13,1,10129,61,1137,16,2,850,16,5,9
1-01602-0013,2011,UPPER EAST SIDE (96-110),D4-ELEVATOR,67,1923,85290,2899860,34,NA,NA,NA,13500000,158,1-01518-0033,UPPER EAST SIDE (79-96),D6-ELEVATOR,100,1980,81837,2782708,34,NA,NA,NA,13000000,159,0.45,1-01517-0050,UPPER EAST SIDE (79-96),D6-ELEVATOR,98,1929,80351,3305454,41.1,NA,NA,NA,16200000,202,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1602,13,1,10129,61,1137,16,2,850,16,5,9
1-01602-0013,2012,UPPER EAST SIDE (96-110),D4-ELEVATOR,67,1923,85290,2337799,27.41,736053,8.63,1601750,11551000,135.43,1-01602-0066,UPPER EAST SIDE (96-110),D1-ELEVATOR,24,1930,14952,409857,27.41,129092,8.63,280765,2025000,135.43,0,1-01603-0025,UPPER EAST SIDE (96-110),D1-ELEVATOR,24,1920,27500,549485,19.98,166357,6.05,383128,2740000,99.64,0.11,1-01521-0007,115 EAST 92 STREET,UPPER EAST SIDE (79-96),D3-ELEVATOR,54,1927,65,2,38.92,964,14.69,1,12,183.33,0.28,1602,13,1,10129,61,1137,16,2,850,16,5,9
1-01603-0060,2009,UPPER EAST SIDE (96-110),D4-ELEVATOR,53,1925,52000,1637480,31.5,NA,NA,NA,7930000,153,1-01603-0001,UPPER EAST SIDE (96-110),D7-ELEVATOR,82,1925,90349,4044021,44.8,NA,NA,NA,20300000,225,0,1-01513-0070,UPPER EAST SIDE (79-96),D9-ELEVATOR,28,1924,63167,1992742,31.5,NA,NA,NA,9650000,153,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1603,60,1,10029,53,0,10,2,0,20,5,7
1-01603-0060,2011,UPPER EAST SIDE (96-110),D4-ELEVATOR,53,1925,52000,1768000,34,NA,NA,NA,8240000,158,1-01518-0009,UPPER EAST SIDE (79-96),D3-ELEVATOR,45,1924,52848,1801660,34.1,NA,NA,NA,8390000,159,0.45,1-01509-0006,UPPER EAST SIDE (79-96),D3-ELEVATOR,33,1925,52272,2328852,44.6,NA,NA,NA,11400000,218,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1603,60,1,10029,53,0,10,2,0,20,5,7
1-01603-0060,2012,UPPER EAST SIDE (96-110),D4-ELEVATOR,53,1925,52000,1840800,35.4,764400,14.7,1076400,7957000,153.02,1-01607-0069,UPPER EAST SIDE (96-110),D6-ELEVATOR,72,1925,120942,4549177,37.61,1277620,10.56,3271560,24045000,198.81,0.2,1-01521-0007,UPPER EAST SIDE (79-96),D3-ELEVATOR,54,1927,65692,2557031,38.92,964819,14.69,1592210,12043000,183.33,0.32,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,1603,60,1,10029,53,0,10,2,0,20,5,7
1-01622-0051,2009,HARLEM-EAST,C6-WALK-UP,20,1910,8530,194057,22.75,NA,NA,NA,867000,102,1-01637-0052,HARLEM-EAST,C7-WALK-UP,16,1910,11515,264021,22.93,NA,NA,NA,1180000,102,0.4,1-01687-0123,HARLEM-EAST,C1-WALK-UP,12,1910,7804,135441,17.36,NA,NA,NA,551000,71,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622,51,1,10035,19,427,5,5,375,0,11,0
1-01622-0051,2011,HARLEM-EAST,C6-WALK-UP,20,1910,8530,153284,17.97,NA,NA,NA,325000,38.1,1-01632-0023,HARLEM-EAST,C4-WALK-UP,16,1910,8145,119889,14.72,NA,NA,NA,405000,49.7,0.65,1-01687-0123,HARLEM-EAST,C1-WALK-UP,12,1910,7804,165562,21.22,NA,NA,NA,686000,88,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622,51,1,10035,19,427,5,5,375,0,11,0
1-01622-0051,2012,HARLEM-EAST,C6-WALK-UP,20,1910,8530,124112,14.55,74552,8.74,49560,342000,40.09,1-01623-0030,HARLEM-EAST,C1-WALK-UP,22,1920,13355,194330,14.55,116732,8.74,77598,536000,40.13,0.05,1-01623-0035,HARLEM-EAST,C7-WALK-UP,30,1920,19445,255405,13.13,145852,7.5,109553,729000,37.49,0.05,1-01768-0006,113 EAST 119 STREET,HARLEM-CENTRAL,C4-WALK-UP,11,1910,10,164,15.84,83,8.04,80,415,40,0.18,1622,51,1,10035,19,427,5,5,375,0,11,0
1-01624-0043,2012,HARLEM-EAST,C6-WALK-UP,18,1930,8635,237463,27.5,90581,10.49,146882,703000,81.41,1-01624-0066,HARLEM-EAST,C1-WALK-UP,15,1910,9560,289177,30.25,88350,9.24,200827,1504000,157.32,0.09,1-01627-0024,HARLEM-EAST,C1-WALK-UP,20,1910,8925,245429,27.5,93647,10.49,151782,1094000,122.58,0.15,1-01627-0026,159 EAST 99 STREET,HARLEM-EAST,C1-WALK-UP,20,1910,8,250,28.1,93,10.48,157,1,126.83,0.15,1624,43,1,10029,18,0,5,2,0,5,4,2
1-01735-0056,2011,HARLEM-CENTRAL,C6-WALK-UP,35,1925,31746,361904,11.4,NA,NA,NA,767000,24.16,1-01753-0069,HARLEM-CENTRAL,C1-WALK-UP,36,1921,23508,305369,12.99,NA,NA,NA,951000,40.5,0.45,1-01752-0070,HARLEM-CENTRAL,C1-WALK-UP,24,1921,23082,226353,9.81,NA,NA,NA,538000,23.31,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1735,56,1,10037,35,0,6,5,-550,0,4,1
