bbl,tax_year,neighborhood,building_classification,total_units,year_built,gross_sqft,est_gross_income,gross_income_per_sqft,est_expense,expense_per_sqft,net_operating_income,full_market_value,market_value_per_sqft,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_total_units,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_expense,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_full_market_value,comparable_rental_1_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_building_classification,comparable_rental_2_total_units,comparable_rental_2_year_built,comparable_rental_2_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_est_expense,comparable_rental_2_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_3_boro_block_lot,comparable_rental_3_address,comparable_rental_3_neighborhood,comparable_rental_3_building_classification,comparable_rental_3_total_units,comparable_rental_3_year_built,comparable_rental_3_gross_sqft,comparable_rental_3_est_gross_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_est_expense,comparable_rental_3_expense_per_sqft,comparable_rental_3_net_operating_income,comparable_rental_3_full_market_value,comparable_rental_3_market_value_per_sqft,comparable_rental_3_dist_from_coop_in_miles,block,lot,BoroCode,Zip,UnitsRes,ComArea,NumFloors,SchoolDist,outstanding_fines,FDNY_issues,SANITATION_issues,DOB_issues
1-00094-0001,2009,SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,62267700,30,NA,NA,NA,176000000,85,1-00106-0004,SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,488063,29.7,NA,NA,NA,2360000,144,0.1,1-00008-0039,FINANCIAL,D5-ELEVATOR,23,1950,33907,961149,28.3,NA,NA,NA,4660000,137,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1,1,10038,1641,173097,6,2,38455,68,49,91
1-00094-0001,2011,SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,60918566,29.3,NA,NA,NA,129000000,62,1-00016-0100,TRIBECA,D6-ELEVATOR,1720,1983,1881621,55859000,29.7,NA,NA,NA,260000000,138,0.65,1-01052-0001,CLINTON,D6-ELEVATOR,1708,1976,2035745,58981570,29,NA,NA,NA,125000000,61,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1,1,10038,1641,173097,6,2,38455,68,49,91
1-00094-0001,2012,SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,36447360,17.56,18680300,9,17767000,128180000,61.76,1-00341-0058,LOWER EAST SIDE,D6-ELEVATOR,404,1972,225000,2723730,12.11,1579120,7.02,1144610,7280000,32.36,1.05,1-00336-0001,LOWER EAST SIDE,D3-ELEVATOR,128,1982,98052,1957118,19.96,919728,9.38,1037390,7420000,75.67,1.14,1-00460-0001,1 COOPER SQUARE,EAST VILLAGE,D9-ELEVATOR,153,1985,122,2,20.04,1,9.02,1,7,62.96,1.38,94,1,1,10038,1641,173097,6,2,38455,68,49,91
1-00100-0026,2009,SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,1906128,24,NA,NA,NA,8520000,107,1-00393-0014,ALPHABET CITY,C4-WALK-UP,61,1900,81576,1868542,22.91,NA,NA,NA,5280000,65,1.75,1-00400-0001,ALPHABET CITY,D6-ELEVATOR,84,1940,79956,1926119,24.09,NA,NA,NA,8610000,108,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,26,1,10038,39,6000,14,2,-150,24,2,8
1-00100-0026,2011,SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,2263527,28.5,NA,NA,NA,9380000,118,1-01150-0048,UPPER WEST SIDE (59-79),D9-ELEVATOR,74,1914,75240,2297524,30.5,NA,NA,NA,10700000,142,5.1,1-01125-0009,UPPER WEST SIDE (59-79),D7-ELEVATOR,94,1929,80281,2325584,29,NA,NA,NA,9630000,120,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,26,1,10038,39,6000,14,2,-150,24,2,8
1-00100-0026,2012,SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,2289736,28.83,935591,11.78,1354140,10168000,128.02,1-00077-0024,FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.14,1-00065-0020,FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.22,1-00026-0014,37 WALL STREET,FINANCIAL,D5-ELEVATOR,374,1904,377,13,35.54,4,12.44,8,64,170.72,0.4,100,26,1,10038,39,6000,14,2,-150,24,2,8
1-00137-0005,2009,TRIBECA,D4-ELEVATOR,34,1915,70000,1820000,26,NA,NA,NA,8820000,126,1-00220-0027,TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,NA,NA,NA,3530000,132,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,5,1,10007,29,8053,6,2,911,31,14,6
1-00137-0005,2011,TRIBECA,D4-ELEVATOR,34,1915,70000,2327500,33.3,NA,NA,NA,10800000,154,1-00902-0030,GRAMERCY,D6-ELEVATOR,94,1930,77640,2697657,34.7,NA,NA,NA,12600000,162,2.05,1-01128-0061,UPPER WEST SIDE (59-79),D9-ELEVATOR,57,1900,62434,2023651,32.4,NA,NA,NA,9430000,151,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,5,1,10007,29,8053,6,2,911,31,14,6
1-00137-0005,2012,TRIBECA,D4-ELEVATOR,34,1915,70000,2191700,31.31,686700,9.81,1505000,11235000,160.5,1-00220-0027,TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.49,1-00179-0032,TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120530,8377000,158.27,0.23,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,137,5,1,10007,29,8053,6,2,911,31,14,6
1-00137-0035,2009,TRIBECA,D4-ELEVATOR,21,1920,48079,1250054,26,NA,NA,NA,6060000,126,1-00220-0027,TRIBECA,D7-ELEVATOR,13,1900,26712,728076,27.3,NA,NA,NA,3530000,132,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,35,1,10007,16,3700,14,2,1748,22,4,16
